,shortcode,post_type,username,like,comment,object_1,object_2,object_3,object_4,object_5,object_6,object
101,CqA3pT9Mn4l,GraphImage,kendalljenner,847288,3041,1 person,makeup,magazine,poster,text,No Object,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
102,Cpz2CmLO9Ow,GraphSidecar,kendalljenner,2208548,8995,1 person,makeup,No Object,No Object,No Object,No Object,military_uniform
103,CpyDpKMP0AQ,GraphSidecar,kendalljenner,3879161,10782,1 person,makeup,dress,No Object,No Object,No Object,"maillot, tank_suit"
104,Crbq8sXNy0i,GraphSidecar,natgeo,209386,8652,cheetah,big cat,tiger,text,No Object,No Object,"web_site, website, internet_site, site"
105,CrZeLmoNj1m,GraphSidecar,natgeo,137229,578,1 person,goose,duck,nature,arctic,lake,"lakeside, lakeshore"
106,CrYnRuat2lA,GraphSidecar,natgeo,85808,714,3 people,carriage,No Object,No Object,No Object,No Object,"dalmatian, coach_dog, carriage_dog"
107,CrYRQ1hOOgA,GraphImage,natgeo,68670,362,nature,Bryce Canyon National Park,No Object,No Object,No Object,No Object,alp
108,CrWrpSFyphQ,GraphImage,natgeo,146450,559,nature,mountain,No Object,No Object,No Object,No Object,alp
109,CrWXJXisZNM,GraphSidecar,natgeo,121941,766,1 person,rhinoceros,horn,No Object,No Object,No Object,ox
110,CrWCciNM6vi,GraphImage,natgeo,111595,1528,grass,snow,text,No Object,No Object,No Object,"web_site, website, internet_site, site"
111,CrbbMVqO5BM,GraphSidecar,taylorswift,4318120,0,1 person,concert,No Object,No Object,No Object,No Object,electric_guitar
112,CrFcr0lu2Sa,GraphSidecar,taylorswift,5895176,0,3 people,concert,No Object,No Object,No Object,No Object,maillot
113,CqnZlEjuhHb,GraphImage,taylorswift,3735644,0,1 person,concert,No Object,No Object,No Object,No Object,"television, television_system"
114,CqRD1ReOdgR,GraphImage,taylorswift,3679939,0,3 people,guitar,concert,No Object,No Object,No Object,steel_drum
115,CqOdT1XuMhY,GraphSidecar,taylorswift,6571437,0,1 person,concert,No Object,No Object,No Object,No Object,"pedestal, plinth, footstall"
116,Cp_oNR6uHrh,GraphSidecar,taylorswift,6533104,0,1 person,dancing,concert,No Object,No Object,No Object,"unicycle, monocycle"
117,Cp8-L7jp2-C,GraphSidecar,taylorswift,8245207,0,2 people,concert,No Object,No Object,No Object,No Object,acoustic_guitar
118,Cp3QUrJuA0w,GraphSidecar,taylorswift,9393254,0,1 person,concert,No Object,No Object,No Object,No Object,"hoopskirt, crinoline"
119,CmID60UuGfR,GraphImage,taylorswift,4287816,0,No Object,No Object,No Object,No Object,No Object,No Object,acoustic_guitar
120,CmFJ8d2vTxY,GraphSidecar,taylorswift,3175092,0,No Object,No Object,No Object,No Object,No Object,No Object,"suit, suit_of_clothes"
121,CrYefwXPakx,GraphSidecar,virat.kohli,5006954,29209,5 people,people playing cricket,No Object,No Object,No Object,No Object,"television, television_system"
122,CrQwmXPvAxl,GraphSidecar,virat.kohli,5897170,35595,6 people,people playing cricket,No Object,No Object,No Object,No Object,"ballplayer, baseball_player"
