,id,username,category_name,follower,following,ar_effect,type_business,type_professional,verified,reel_count,reel_avg_view,reel_avg_comment,reel_avg_like,reel_avg_duration,reel_frequency,media_count,media_avg_comment,media_avg_like,media_frequency
123,3540949711,coppamagz,Media/news company,1425351,70,FALSE,FALSE,TRUE,FALSE,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
124,2116932867,crictracker,Video creator,2490423,838,TRUE,FALSE,TRUE,TRUE,3339,63752.58333,60.33333333,18981.16667,81.47466667,0.732575892,76292,125.9166667,56806.16667,-0.796604498
125,367005646,dagelan,Arts & entertainment,21830404,639,TRUE,FALSE,TRUE,TRUE,9939,1204215.833,2107.833333,56114.91667,74.48583333,2.456118633,56829,1409.333333,88699.83333,0.090073743
126,241277154,spiritualword,Entertainment website,2596488,1553,FALSE,FALSE,TRUE,FALSE,9266,641650.8333,4566.833333,39890.41667,45.55525,0.197501075,57618,1099.333333,10364.33333,-28.02642551
127,6269882862,memelasdeorizaba,Digital creator,2371937,0,FALSE,FALSE,TRUE,FALSE,3391,842681.6667,2204.5,72252.41667,17.19975,24.7262185,54728,284.8333333,44220,-19.12006515
128,1782156817,cabronazi,Community,11337978,220,FALSE,FALSE,TRUE,TRUE,7047,1165567.167,790.5833333,75641.41667,133.64425,7.37624165,53252,2194.083333,158040.5833,-1.182989089
129,223928005,deertybhr,Blogger,567694,66,FALSE,TRUE,TRUE,FALSE,18088,52264.08333,194,2127.083333,44.294,0.141646742,58080,140.1666667,1504.75,0.133713375
130,205593849,nfl,Sports league,27530675,2155,TRUE,TRUE,TRUE,TRUE,11503,264268.4167,384.5833333,49180.75,42.509,13.36129332,52405,854.5,98479.91667,0.007090855
131,1974171340,viralbhayani,Digital creator,5631454,445,FALSE,FALSE,TRUE,TRUE,14647,353739.1667,307.5,26219.58333,59.597,1.469468667,57718,178.8333333,38357.83333,-0.05745048
132,11954021,complex,,10945582,934,TRUE,TRUE,TRUE,TRUE,7198,573617.1667,471.1666667,65732.5,398.9715,10.65426678,51470,461.4166667,63116.58333,0.046809854
133,1904985708,zonakorea,Blogger,870571,73,TRUE,FALSE,TRUE,FALSE,10288,31669.91667,27.16666667,3996.916667,25.361,5.744215112,51914,104.75,2011,-6.347991238
134,28995773,bleacherreport,News & media website,20968113,661,TRUE,TRUE,TRUE,TRUE,17804,887186.1667,1256.75,123328.1667,58.06708333,27.88694874,47487,2008.833333,217393.9167,-0.658569941
135,591417230,laliga,Sports league,45657426,911,TRUE,FALSE,TRUE,TRUE,7776,263545.75,103.75,36997.16667,36.00575,13.36553241,47402,57.33333333,26942.16667,0.064341352
136,7741887394,tommyphillipsiv,Entrepreneur,1893,1763,FALSE,TRUE,TRUE,FALSE,12488,2,0.833333333,1.916666667,31.66666667,0.782266616,48600,0.416666667,0.416666667,-2.809324405
137,337313916,officialmnctv,TV channel,1994399,808,TRUE,TRUE,TRUE,TRUE,18961,22140.91667,38.83333333,1600.833333,731.01875,15.63043899,51327,19.25,627.6666667,0.082128801
138,505182045,sportscenter,News & media website,34212921,260,TRUE,TRUE,TRUE,TRUE,13498,2285158.333,2989.5,306238,33.07466667,24.81990336,45762,2282.416667,170881.1667,0.03502232
139,305631327,jdemsey,Health/beauty,1066942,7506,FALSE,TRUE,TRUE,TRUE,16421,36428.5,26.25,968.3333333,31.1385,0.101260746,54914,78.66666667,5101.916667,0.032353835
140,3437650607,theybf_daily,Media/news company,327699,2,FALSE,TRUE,TRUE,TRUE,5778,22405.41667,68.16666667,1071.916667,54.69691667,0.780266204,47333,47.83333333,1330.583333,0.037463375
141,1453805614,idntimes,News & media website,2383028,295,TRUE,TRUE,TRUE,TRUE,3623,8301.75,1.5,254.0833333,1728.397417,0.991820353,45757,65.66666667,3147.166667,-0.961892775
